CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,TOTAL1
DAIM  ,      ,CRM,8
DAIM  ,      ,FWN,1
DAIM  ,      ,GLD,1
DAIM  ,      ,GRN,8
DAIM  ,      ,GRY,8
DAIM  ,      ,MRN,5
DAIM  ,      ,RED,8
DAIM  ,      ,WHI,10
DAIM  ,      ,YLW,1
DATSUN,      ,BLK,1
DATSUN,      ,BLU,68
DATSUN,      ,BRN,28
DATSUN,      ,CRM,7
DATSUN,      ,FWN,3
DATSUN,      ,GLD,7
DATSUN,      ,GRN,33
DATSUN,      ,GRY,7
DATSUN,      ,MRN,6
DATSUN,      ,OGE,19
DATSUN,      ,RED,55
DATSUN,      ,SIL,31
DATSUN,      ,TAN,1
DATSUN,      ,WHI,112
DATSUN,      ,YLW,39
DELAGE,      ,BLK,1
DEMAG ,      ,BLU,1
DENING,      ,BLU,2
DENING,      ,FWN,1
DENING,      ,GRN,2
DENING,      ,GRY,1
DENING,      ,RED,3
DENING,      ,SIL,3
DENING,      ,WHI,26
DENNIS,      ,CRM,1
DENNIS,      ,RED,1
DENNIS,      ,WHI,1
DESOTO,      ,BLU,3
DESOTO,      ,CRM,2
DESOTO,      ,GRN,4
DESOTO,      ,MRN,1
DESOTO,      ,OGE,1
DESOTO,      ,WHI,1
DESOTO,      ,YLW,1
DETOM ,      ,BLK,1
DETOM ,      ,BLU,1
DEUTZ ,      ,BLU,7
DEUTZ ,      ,GRN,347
DEUTZ ,      ,OGE,2
DEUTZ ,      ,RED,1
DEUTZ ,      ,SIL,1
DEUTZ ,      ,YLW,1
DIA R ,      ,BLU,1
DIA R ,      ,RED,1
DIA T ,      ,BLK,1
DIA T ,      ,FWN,1
DIA T ,      ,GRN,1
DIECI ,      ,YLW,8
DINGO ,      ,YLW,1
DITCHW,      ,OGE,1
DITCHW,      ,YLW,1
DODGE ,      ,BLK,21
DODGE ,      ,BLU,36
DODGE ,      ,BRN,7
DODGE ,      ,CRM,12
DODGE ,      ,FWN,15
DODGE ,      ,GLD,1
DODGE ,      ,GRN,73
DODGE ,      ,GRY,44
DODGE ,      ,MRN,5
DODGE ,      ,OGE,15
DODGE ,      ,PUR,1
DODGE ,      ,RED,152
DODGE ,      ,SIL,5
DODGE ,      ,WHI,190
DODGE ,      ,YLW,21
DOMINO,      ,BLU,2
DOMINO,      ,RED,2
DOMINO,      ,WHI,3
DONGFE,      ,RED,1
DONKEY,      ,GRN,1
DOUGLS,      ,BLK,1
DRMCO ,      ,GRN,1
DRMCO ,      ,YLW,2
DUCATI,      ,BLK,7
DUCATI,      ,BLU,4
DUCATI,      ,GRN,2
DUCATI,      ,GRY,1
DUCATI,      ,MRN,1
DUCATI,      ,OGE,1
DUCATI,      ,RED,8
DUCATI,      ,SIL,7
DUCATI,      ,YLW,1
DURANT,      ,FWN,1
DYNAPC,      ,OGE,2
DYNAPC,      ,YLW,2
E CAR ,      ,BLK,1
E CAR ,      ,RED,1
E VAC ,      ,WHI,1
E WIND,      ,RED,1
E WIND,      ,YLW,2
EBRO  ,      ,BLU,2
ELFIN ,      ,RED,1
ELL CH,      ,OGE,1
EMC   ,      ,BLK,1
EMC   ,      ,RED,1
ENFLD ,      ,BLK,2
ENFORC,      ,OGE,2
ENFORC,      ,RED,2
ESSEX ,      ,GRN,1
EUNOS ,      ,RED,1
EUREKA,      ,RED,1
EUREKA,      ,YLW,1
EZGO  ,      ,BLK,1
EZGO  ,      ,GRN,5
EZGO  ,      ,WHI,1
F LINE,      ,RED,4
F LINE,      ,WHI,13
F M C ,      ,RED,1
F N   ,      ,GRN,1
FAHR  ,      ,BLU,1
FARGO ,      ,BLU,1
FARGO ,      ,CRM,1
FARGO ,      ,FWN,1
FARGO ,      ,GRN,2
FARGO ,      ,RED,3
FARGO ,      ,SIL,1
FARM  ,      ,GRY,1
FARM  ,      ,OGE,1
FARM  ,      ,RED,11
FARM  ,      ,YLW,1
FENDT ,      ,BLU,1
FENDT ,      ,GRN,80
FENDT ,      ,YLW,4
FERG  ,      ,   ,1
FERG  ,      ,GRY,240
FERG  ,      ,RED,125
FERG  ,      ,YLW,2
FERRAR,      ,BLK,3
FERRAR,      ,BLU,4
FERRAR,      ,GRN,1
FERRAR,      ,GRY,1
FERRAR,      ,OGE,1
FERRAR,      ,PNK,1
FERRAR,      ,RED,32
FERRAR,      ,SIL,6
FERRAR,      ,YLW,2
FERRIS,      ,RED,1
FERRIT,      ,GRN,1
FIAT  ,      ,BLK,12
FIAT  ,      ,BLU,14
FIAT  ,      ,BRN,207
FIAT  ,      ,FWN,1
FIAT  ,      ,GRN,14
FIAT  ,      ,GRY,18
FIAT  ,      ,MRN,1
FIAT  ,      ,OGE,402
FIAT  ,      ,PNK,2
FIAT  ,      ,RED,72
FIAT  ,      ,SIL,7
FIAT  ,      ,WHI,80
FIAT  ,      ,YLW,25
FODEN ,      ,BLU,1
FORCE ,      ,RED,1
FORD  ,      ,BEI,1
FORD  ,      ,BLK,507
FORD  ,      ,BLU,2243
FORD  ,      ,BRN,291
FORD  ,      ,CRM,51
